feature,gain,weight,cover,gain_normalized
MagpieData range Electronegativity,1.297055721282959,377.0,712.5437622070312,0.005787794675424821
MagpieData avg_dev SpaceGroupNumber,1.2904528379440308,605.0,472.3619689941406,0.005758330919624338
MagpieData range SpaceGroupNumber,1.2731887102127075,192.0,302.2447814941406,0.005681293962059885
MagpieData range NdValence,1.2663640975952148,27.0,116.88888549804688,0.005650840793455616
MagpieData range Column,1.2613162994384766,48.0,132.2291717529297,0.005628316225840826
MagpieData maximum SpaceGroupNumber,1.2560328245162964,119.0,331.4705810546875,0.005604740008165237
MagpieData range NpUnfilled,1.2550593614578247,54.0,550.0184936523438,0.005600396166791196
MagpieData mode GSbandgap,1.2435286045074463,68.0,426.8676452636719,0.005548942977397755
MagpieData maximum GSbandgap,1.2320353984832764,112.0,790.2678833007812,0.005497657349850117
MagpieData range MeltingT,1.2038880586624146,560.0,929.7392578125,0.005372056713833172
MagpieData range NpValence,1.177019715309143,22.0,161.68182373046875,0.005252163287478496
MagpieData mode AtomicWeight,1.166245698928833,8.0,874.375,0.00520408686823475
MagpieData mode Electronegativity,1.164749026298523,155.0,933.8258056640625,0.005197408331809195
MagpieData avg_dev NdValence,1.1464908123016357,262.0,593.2862548828125,0.0051159355068411015
MagpieData avg_dev MeltingT,1.137869954109192,842.0,523.2304077148438,0.005077467030641432
MagpieData maximum GSmagmom,1.1374272108078003,121.0,1229.99169921875,0.005075491396688066
MagpieData minimum MendeleevNumber,1.1355019807815552,729.0,324.6598205566406,0.005066900527450892
MagpieData range NUnfilled,1.1332343816757202,183.0,597.60107421875,0.005056781919733895
MagpieData mode NpValence,1.1195788383483887,2.0,155.0,0.004995847389579873
vpa,1.116943597793579,1969.0,636.1787719726562,0.004984088271601114
MagpieData minimum NValence,1.1149111986160278,35.0,379.4571533203125,0.004975019186175445
MagpieData mean NdValence,1.094409465789795,357.0,352.6946716308594,0.004883535205848614
MagpieData maximum Number,1.088417887687683,1770.0,122.46723175048828,0.004856799250509322
MagpieData mean Electronegativity,1.0798051357269287,856.0,842.4310913085938,0.004818366946390651
MagpieData mode MendeleevNumber,1.0751992464065552,256.0,415.9453125,0.004797814289132653
MagpieData range GSvolume_pa,1.0735251903533936,426.0,698.6737060546875,0.004790344222464069
MagpieData mean GSbandgap,1.0718892812728882,398.0,662.3843994140625,0.004783044377353126
